0;0;0
1;0;2
2;0;4
3;0;6
4;0;8
5;1;11
6;1;33
7;1;55
8;1;77
9;1;99
10;0;11
11;0;22
12;0;33
13;0;44
14;0;55
15;0;66
16;0;77
17;0;88
18;0;99
19;1;121
20;0;22
21;0;33
22;0;44
23;0;55
24;0;66
25;0;77
26;0;88
27;0;99
28;1;121
29;0;121
30;0;33
31;0;44
32;0;55
33;0;66
34;0;77
35;0;88
36;0;99
37;1;121
38;0;121
39;1;363
40;0;44
41;0;55
42;0;66
43;0;77
44;0;88
45;0;99
46;1;121
47;0;121
48;1;363
49;1;484
50;0;55
51;0;66
52;0;77
53;0;88
54;0;99
55;1;121
56;0;121
57;1;363
58;1;484
59;2;1111
60;0;66
61;0;77
62;0;88
63;0;99
64;1;121
65;0;121
66;1;363
67;1;484
68;2;1111
69;3;4884
70;0;77
71;0;88
72;0;99
73;1;121
74;0;121
75;1;363
76;1;484
77;2;1111
78;3;4884
79;5;44044
80;0;88
81;0;99
82;1;121
83;0;121
84;1;363
85;1;484
86;2;1111
87;3;4884
88;5;44044
89;23;8813200023188
90;0;99
91;1;121
92;0;121
93;1;363
94;1;484
95;2;1111
96;3;4884
97;5;44044
98;23;8813200023188
99;5;79497
100;0;101
101;0;202
102;0;303
103;0;404
104;0;505
105;0;606
106;0;707
107;0;808
108;0;909
109;1;1111
110;0;121
111;0;222
112;0;323
113;0;424
114;0;525
115;0;626
116;0;727
117;0;828
118;0;929
119;1;1331
120;0;141
121;0;242
122;0;343
123;0;444
124;0;545
125;0;646
126;0;747
127;0;848
128;0;949
129;1;1551
130;0;161
131;0;262
132;0;363
133;0;464
134;0;565
135;0;666
136;0;767
137;0;868
138;0;969
139;1;1771
140;0;181
141;0;282
142;0;383
143;0;484
144;0;585
145;0;686
146;0;787
147;0;888
148;0;989
149;1;1991
150;1;303
151;1;505
152;1;707
153;1;909
154;1;1111
155;2;4444
156;2;6666
157;2;8888
158;2;11011
159;1;1221
160;1;343
161;1;545
162;1;747
163;1;949
164;2;2662
165;2;4884
166;4;45254
167;10;88555588
168;2;13431
169;1;1441
170;1;383
171;1;585
172;1;787
173;1;989
174;3;5115
175;3;9559
176;4;44044
177;14;8836886388
178;2;15851
179;1;1661
180;2;747
181;3;2662
182;5;45254
183;3;13431
184;2;2552
185;2;4774
186;2;6996
187;22;8813200023188
188;6;233332
189;1;1881
190;6;45254
191;3;2552
192;3;6996
193;7;233332
194;2;2992
195;3;9339
196;>10000k	?
197;6;881188
198;4;79497
199;2;3113
200;0;202
201;0;303
202;0;404
203;0;505
204;0;606
205;0;707
206;0;808
207;0;909
208;1;1111
209;0;1111
210;0;222
211;0;323
212;0;424
213;0;525
214;0;626
215;0;727
216;0;828
217;0;929
218;1;1331
219;1;2442
220;0;242
221;0;343
222;0;444
223;0;545
224;0;646
225;0;747
226;0;848
227;0;949
228;1;1551
229;1;2662
230;0;262
231;0;363
232;0;464
233;0;565
234;0;666
235;0;767
236;0;868
237;0;969
238;1;1771
239;1;2882
240;0;282
241;0;383
242;0;484
243;0;585
244;0;686
245;0;787
246;0;888
247;0;989
248;1;1991
249;2;5115
250;1;505
251;1;707
252;1;909
253;1;1111
254;2;4444
255;2;6666
256;2;8888
257;2;11011
258;1;1221
259;1;2332
260;1;545
261;1;747
262;1;949
263;2;2662
264;2;4884
265;4;45254
266;10;88555588
267;2;13431
268;1;1441
269;1;2552
270;1;585
271;1;787
272;1;989
273;3;5115
274;3;9559
275;4;44044
276;14;8836886388
277;2;15851
278;1;1661
279;1;2772
280;3;2662
281;5;45254
282;3;13431
283;2;2552
284;2;4774
285;2;6996
286;22;8813200023188
287;6;233332
288;1;1881
289;1;2992
290;3;2552
291;3;6996
292;7;233332
293;2;2992
294;3;9339
295;>10000k	?
296;6;881188
297;4;79497
298;2;3113
299;2;5335
300;0;303
301;0;404
302;0;505
303;0;606
304;0;707
